"","title","author","subject","abstract","date"
"11","terrain recognition and contact force estimation through a sensorized paw for legged robots","aleksander vangen, tejal barnwal, jørgen anker olsen, kostas alexis","robotics","this paper introduces the terrain recognition and contact force estimation paw, a compact and sensorized shoe designed for legged robots. the paw end-effector is made of silicon that deforms upon the application of contact forces, while an embedded micro camera is utilized to capture images of the deformed inner surface inside the shoe, and a microphone picks up audio signals. processed through machine learning techniques, the images are mapped to compute an accurate estimate of the cumulative 3d force vector, while the audio signals are analyzed to identify the terrain class (e.g., gravel, snow). by leveraging its on-edge computation ability, the paw enhances the capabilities of legged robots by providing key information in real-time that can be used to adapt locomotion control strategies. to assess the performance of this novel sensorized paw, we conducted experiments on the data collected through a specially-designed testbed for force estimation, as well as data from recordings of the audio signatures of different terrains interacting with the paw. the results demonstrate the accuracy and effectiveness of the system, highlighting its potential for improving legged robot performance.",2023-11-07
"12","runner re-identification from single-view video in the open-world setting","tomohiro suzuki, kazushi tsutsui, kazuya takeda, keisuke fujii","computer vision and pattern recognition","in many sports, player re-identification is crucial for automatic video processing and analysis. however, most of the current studies on player re-identification in multi- or single-view sports videos focus on re-identification in the closed-world setting using labeled image dataset, and player re-identification in the open-world setting for automatic video analysis is not well developed. in this paper, we propose a runner re-identification system that directly processes single-view video to address the open-world setting. in the open-world setting, we cannot use labeled dataset and have to process video directly. the proposed system automatically processes raw video as input to identify runners, and it can identify runners even when they are framed out multiple times. for the automatic processing, we first detect the runners in the video using the pre-trained yolov8 and the fine-tuned efficientnet. we then track the runners using bytetrack and detect their shoes with the fine-tuned yolov8. finally, we extract the image features of the runners using an unsupervised method using the gated recurrent unit autoencoder model. to improve the accuracy of runner re-identification, we use dynamic features of running sequence images. we evaluated the system on a running practice video dataset and showed that the proposed method identified runners with higher accuracy than one of the state-of-the-art models in unsupervised re-identification. we also showed that our unsupervised running dynamic feature extractor was effective for runner re-identification. our runner re-identification system can be useful for the automatic analysis of running videos.",2023-10-18
"13","optimized shock-protecting microstructures","zizhou huang, daniele panozzo, denis zorin","optimization and control","mechanical shock is a common occurrence in various settings, there are two different scenarios for shock protection: catastrophic protection (e.g. car collisions and falls) and routine protection (e.g. shoe soles and shock absorbers for car seats). the former protects against one-time events, the latter against periodic shocks and loads. common shock absorbers based on plasticity and fracturing materials are suitable for the former, while our focus is on the latter, where elastic structures are useful. improved elastic materials protecting against shock can be used in applications such as automotive suspension, furniture like sofas and mattresses, landing gear systems, etc. materials offering optimal protection against shock have a highly non-linear elastic response: their reaction force needs to be as close as possible to constant with respect to deformation. in this paper, we use shape optimization and topology search to design 2d families of microstructures approximating the ideal behavior across a range of deformations, leading to superior shock protection. we present an algorithmic pipeline for the optimal design of such families combining differentiable nonlinear homogenization with self-contact and an optimization algorithm. these advanced 2d designs can be extruded and fabricated with existing 3d printing technologies. we validate their effectiveness through experimental testing.",2023-10-11
"14","cosmological observational constraints on the power law $f(q)$ type modified gravity theory","sanjay mandal, sneha pradhan, p.k. sahoo, tiberiu harko","general relativity and quantum cosmology","in modern cosmology, the curiosity of ultimately understanding the nature of the dark energy controlling the recent acceleration of the universe motivates us to explore its properties by using some novel approaches. in this work, to explore the properties of dark energy we adopt the modified $f(q)$ gravity theory, where the non-metricity scalar $q$, emerging from weyl geometry, plays the dynamical role. for the function $f(q)$ we adopt the functional form $f(q)=q+ 6\gamma\,h_0^2(q/q_0)^n$, where $n,\, \gamma,\, h_0$ and $q_0$ are constants. then, we test our constructed model against the various observational datasets, such as the hubble, and the pantheon+shoes samples, and their combined sample, through the markov chain monte carlo (mcmc) statistical analysis. we also employ the parameter estimation technique to constrain the free parameters of the model. in addition, we use the constrained values of the model parameters to explore a few implications of the cosmological model. a detailed comparison of the predictions of our model with the $\lambda$cdm model is also performed. in particular, we discuss in detail some cosmographic parameters, like the deceleration, the jerk, and the snap parameters, as well as the behavior of the dark energy and matter energy densities to see the evolution of various energy/matter profiles. the $om$ diagnostics is also presented to test the dark energy nature of our model, as compared to the standard $\lambda$cdm paradigm. our findings show that the considered version of the non-metric $f(q)$ type modified gravity theory, despite some differences with respect to the $\lambda$cdm paradigm, can still explain the current observational results on the cosmological parameters, and provide a convincing and consistent account for the accelerating expansion of the universe.",2023-09-29
"15","aap-reid: improved attention-aware person re-identification","vipin gautam, shitala prasad, sharad sinha","computer vision and pattern recognition","person re-identification (reid) is a well-known problem in the field of computer vision. the primary objective is to identify a specific individual within a gallery of images. however, this task is challenging due to various factors, such as pose variations, illumination changes, obstructions, and the presence ofconfusing backgrounds. existing reid methods often fail to capture discriminative features (e.g., head, shoes, backpacks) and instead capture irrelevant features when the target is occluded. motivated by the success of part-based and attention-based reid methods, we improve alignedreid++ and present aap-reid, a more effective method for person reid that incorporates channel-wise attention into a resnet-based architecture. our method incorporates the channel-wise attention bottleneck (cwabottleneck) block and can learn discriminating features by dynamically adjusting the importance ofeach channel in the feature maps. we evaluated aap-reid on three benchmark datasets: market-1501, dukemtmc-reid, and cuhk03. when compared with state-of-the-art person reid methods, we achieve competitive results with rank-1 accuracies of 95.6% on market-1501, 90.6% on dukemtmc-reid, and 82.4% on cuhk03.",2023-09-27
"16","ai-driven personalised offloading device prescriptions: a cutting-edge approach to preventing diabetes-related plantar forefoot ulcers and complications","sayed ahmed, muhammad ashad kabir, muhammad e. h. chowdhury, susan nancarrow","computers and society","diabetes-related foot ulcers and complications are a significant concern for individuals with diabetes, leading to severe health implications such as lower-limb amputation and reduced quality of life. this chapter discusses applying ai-driven personalised offloading device prescriptions as an advanced solution for preventing such conditions. by harnessing the capabilities of artificial intelligence, this cutting-edge approach enables the prescription of offloading devices tailored to each patient's specific requirements. this includes the patient's preferences on offloading devices such as footwear and foot orthotics and their adaptations that suit the patient's intention of use and lifestyle. through a series of studies, real-world data analysis and machine learning algorithms, high-risk areas can be identified, facilitating the recommendation of precise offloading strategies, including custom orthotic insoles, shoe adaptations, or specialised footwear. by including patient-specific factors to promote adherence, proactively addressing pressure points and promoting optimal foot mechanics, these personalised offloading devices have the potential to minimise the occurrence of foot ulcers and associated complications. this chapter proposes an ai-powered clinical decision support system (cdss) to recommend personalised prescriptions of offloading devices (footwear and insoles) for patients with diabetes who are at risk of foot complications. this innovative approach signifies a transformative leap in diabetic foot care, offering promising opportunities for preventive healthcare interventions.",2023-09-06
"17","conway and doyle can divide by three, but i can't","patrick lutz","logic","conway and doyle have claimed to be able to divide by three. we attempt to replicate their achievement and fail. in the process, we get tangled up in some shoes and socks and forget how to multiply.",2023-09-20
"18","unsupervised landmark discovery using consistency guided bottleneck","mamona awan, muhammad haris khan, sanoojan baliah, muhammad ahmad waseem, salman khan, fahad shahbaz khan, arif mahmood","computer vision and pattern recognition","we study a challenging problem of unsupervised discovery of object landmarks. many recent methods rely on bottlenecks to generate 2d gaussian heatmaps however, these are limited in generating informed heatmaps while training, presumably due to the lack of effective structural cues. also, it is assumed that all predicted landmarks are semantically relevant despite having no ground truth supervision. in the current work, we introduce a consistency-guided bottleneck in an image reconstruction-based pipeline that leverages landmark consistency, a measure of compatibility score with the pseudo-ground truth to generate adaptive heatmaps. we propose obtaining pseudo-supervision via forming landmark correspondence across images. the consistency then modulates the uncertainty of the discovered landmarks in the generation of adaptive heatmaps which rank consistent landmarks above their noisy counterparts, providing effective structural information for improved robustness. evaluations on five diverse datasets including mafl, aflw, ls3d, cats, and shoes demonstrate excellent performance of the proposed approach compared to the existing state-of-the-art methods. our code is publicly available at this https url.",2023-09-19
"19","fashionntm: multi-turn fashion image retrieval via cascaded memory","anwesan pal, sahil wadhwa, ayush jaiswal, xu zhang, yue wu, rakesh chada, pradeep natarajan, henrik i. christensen","computer vision and pattern recognition","multi-turn textual feedback-based fashion image retrieval focuses on a real-world setting, where users can iteratively provide information to refine retrieval results until they find an item that fits all their requirements. in this work, we present a novel memory-based method, called fashionntm, for such a multi-turn system. our framework incorporates a new cascaded memory neural turing machine (cm-ntm) approach for implicit state management, thereby learning to integrate information across all past turns to retrieve new images, for a given turn. unlike vanilla neural turing machine (ntm), our cm-ntm operates on multiple inputs, which interact with their respective memories via individual read and write heads, to learn complex relationships. extensive evaluation results show that our proposed method outperforms the previous state-of-the-art algorithm by 50.5%, on multi-turn fashioniq -- the only existing multi-turn fashion dataset currently, in addition to having a relative improvement of 12.6% on multi-turn shoes -- an extension of the single-turn shoes dataset that we created in this work. further analysis of the model in a real-world interactive setting demonstrates two important capabilities of our model -- memory retention across turns, and agnosticity to turn order for non-contradictory feedback. finally, user study results show that images retrieved by fashionntm were favored by 83.1% over other multi-turn models. project page: this https url",2023-08-20
"20","humanliff: layer-wise 3d human generation with diffusion model","shoukang hu, fangzhou hong, tao hu, liang pan, haiyi mei, weiye xiao, lei yang, ziwei liu","computer vision and pattern recognition","3d human generation from 2d images has achieved remarkable progress through the synergistic utilization of neural rendering and generative models. existing 3d human generative models mainly generate a clothed 3d human as an undetectable 3d model in a single pass, while rarely considering the layer-wise nature of a clothed human body, which often consists of the human body and various clothes such as underwear, outerwear, trousers, shoes, etc. in this work, we propose humanliff, the first layer-wise 3d human generative model with a unified diffusion process. specifically, humanliff firstly generates minimal-clothed humans, represented by tri-plane features, in a canonical space, and then progressively generates clothes in a layer-wise manner. in this way, the 3d human generation is thus formulated as a sequence of diffusion-based 3d conditional generation. to reconstruct more fine-grained 3d humans with tri-plane representation, we propose a tri-plane shift operation that splits each tri-plane into three sub-planes and shifts these sub-planes to enable feature grid subdivision. to further enhance the controllability of 3d generation with 3d layered conditions, humanliff hierarchically fuses tri-plane features and 3d layered conditions to facilitate the 3d diffusion model learning. extensive experiments on two layer-wise 3d human datasets, synbody (synthetic) and tightcap (real-world), validate that humanliff significantly outperforms state-of-the-art methods in layer-wise 3d human generation. our code will be available at this https url.",2023-08-18
"21","eco-friendly sensing for human activity recognition","kaede shintani, hamada rizk, hirozumi yamaguchi","signal processing","with the increasing number of iot devices, there is a growing demand for energy-free sensors. human activity recognition holds immense value in numerous daily healthcare applications. however, the majority of current sensing modalities consume energy, thus limiting their sustainable adoption. in this paper, we present a novel activity recognition system that not only operates without requiring energy for sensing but also harvests energy. our proposed system utilizes photovoltaic cells, attached to the wrist and shoes, as eco-friendly sensing devices for activity recognition. by capturing photovoltaic readings and employing a deep transformer model with powerful learning capabilities, the system effectively recognizes user activities. to ensure robust performance across various subjects, time periods, and lighting conditions, the system incorporates feature extraction and different processing modules. the evaluation of the proposed system on realistic indoor and outdoor environments demonstrated its ability to recognize activities with an accuracy of 91.7%.",2023-07-30
"22","moisture-driven degradation mechanisms in the viscoelastic properties of tpu-based syntactic foams","sabarinathan p subramaniyan, pavana prabhakar","applied physics","syntactic foams have found widespread usage in various applications including, marine, aerospace, automotive, pipe insulation, electrical cable sheathing, and shoe insoles. however, syntactic foams are often exposed to moisture when used in these applications that potentially alter their viscoelastic properties, which influences their long-term durability. despite their significance, previous research has mainly focused on experimental studies concerning mechanical property changes resulting from filler loading and different matrix materials, overlooking the fundamental mechanisms resulting from moisture exposure. the current paper aims to bridge this gap in knowledge by elucidating the impact of long-term moisture exposure on tpu and tpu-based syntactic foam through multi-scale materials characterization approaches. here, we choose a flexible syntactic foam manufactured using thermoplastic polyurethane elastomer (tpu) reinforced with glass microballoons (gmb) through selective laser sintering. specifically, the research investigates the influence of moisture exposure time and the volume fraction of gmb on chemical and microphase morphological changes, along with their associated mechanisms. the study further examines how these microphase morphological changes manifest in viscoelastic properties.",2023-07-25
"23","dual-modality smart shoes for quantitative assessment of hemiplegic patients' lower limbs' muscle strength","huajun long, jie li, rui li, xinfeng liu, jingyuan cheng","human-computer interaction","stroke can lead to the impaired motor ability of the patient's lower limbs and hemiplegia. accurate assessment of the lower limbs' motor ability is important for diagnosis and rehabilitation. to digitalize such assessment so that each test can be traced back any time and subjectivity can be avoided, we test how dual-modality smart shoes equipped with pressure-sensitive insoles and inertial measurement units can be used for this purpose. a 5m walking test protocol, including the left and right turns, is designed. data are collected from 23 patients and 17 healthy subjects. for the lower limbs' motor ability, the tests are observed by two physicians and assessed using the five graded medical research council scale for muscle examination. the average of two physicians' scores for the same patient is used as the ground truth. using the feature set we developed, 100\% accuracy is achieved in classifying the patients and healthy subjects. for patients' muscle strength, a mean absolute error of 0.143 and a maximum error of 0.395 is achieved using our feature set and the regression method, closer to the ground truth than the scores from each physician (mean absolute error: 0.217, maximum error: 0.5). we thus validate the possibility of using such smart shoes to objectively and accurately evaluate the lower limbs' muscle strength of the stroke patients.",2023-05-23
"24","self-training boosted multi-faceted matching network for composed image retrieval","haokun wen, xuemeng song, jianhua yin, jianlong wu, weili guan, liqiang nie","multimedia","the composed image retrieval (cir) task aims to retrieve the desired target image for a given multimodal query, i.e., a reference image with its corresponding modification text. the key limitations encountered by existing efforts are two aspects: 1) ignoring the multi-faceted query-target matching factors; 2) ignoring the potential unlabeled reference-target image pairs in existing benchmark datasets. to address these two limitations is non-trivial due to the following challenges: 1) how to effectively model the multi-faceted matching factors in a latent way without direct supervision signals; 2) how to fully utilize the potential unlabeled reference-target image pairs to improve the generalization ability of the cir model. to address these challenges, in this work, we first propose a multi-faceted matching network (limn), which consists of three key modules: multi-grained image/text encoder, latent factor-oriented feature aggregation, and query-target matching modeling. thereafter, we design an iterative dual self-training paradigm to further enhance the performance of limn by fully utilizing the potential unlabeled reference-target image pairs in a semi-supervised manner. specifically, we denote the iterative dual self-training paradigm enhanced limn as limn+. extensive experiments on three real-world datasets, fashioniq, shoes, and birds-to-words, show that our proposed method significantly surpasses the state-of-the-art baselines.",2023-05-17
"25","an acoustic simulation framework to support indoor positioning and data driven signal processing assessments","daan delabie, chesney buyle, bert cox, liesbet van der perre, lieven de strycker","audio and speech processing","we present an indoor acoustic simulation framework that supports both ultrasonic and audible signaling. the framework opens the opportunity for fast indoor acoustic data generation and positioning development. the improved pyroomacoustics-based physical model includes both an image-source model (ism) and ray tracing method to simulate acoustic signaling in geometric spaces that extend typical shoe-box rooms. moreover, it offers the convenience to facilitate multiple speakers and microphones with different directivity patterns. in addition to temperature and air absorption, the room reverberation is taken into account characterized by the rt60 value or the combination of building materials. additional noise sources can be added by means of post processing and/or extra speakers. indoor positioning methods assessed in simulation are compared with real measurements in a testbed, called 'techtile'. this analysis confirms that the simulation results are close to the measurements and form a realistic representation of the reality. the simulation framework is constructed in a modular way, and parts can be replaced or modified to support different application domains. the code is made available open source.",2023-05-04
"26","textdeformer: geometry manipulation using text guidance","william gao, noam aigerman, thibault groueix, vladimir g. kim, rana hanocka","computer vision and pattern recognition","we present a technique for automatically producing a deformation of an input triangle mesh, guided solely by a text prompt. our framework is capable of deformations that produce both large, low-frequency shape changes, and small high-frequency details. our framework relies on differentiable rendering to connect geometry to powerful pre-trained image encoders, such as clip and dino. notably, updating mesh geometry by taking gradient steps through differentiable rendering is notoriously challenging, commonly resulting in deformed meshes with significant artifacts. these difficulties are amplified by noisy and inconsistent gradients from clip. to overcome this limitation, we opt to represent our mesh deformation through jacobians, which updates deformations in a global, smooth manner (rather than locally-sub-optimal steps). our key observation is that jacobians are a representation that favors smoother, large deformations, leading to a global relation between vertices and pixels, and avoiding localized noisy gradients. additionally, to ensure the resulting shape is coherent from all 3d viewpoints, we encourage the deep features computed on the 2d encoding of the rendering to be consistent for a given vertex from all viewpoints. we demonstrate that our method is capable of smoothly-deforming a wide variety of source mesh and target text prompts, achieving both large modifications to, e.g., body proportions of animals, as well as adding fine semantic details, such as shoe laces on an army boot and fine details of a face.",2023-04-26
"27","hard patches mining for masked image modeling","haochen wang, kaiyou song, junsong fan, yuxi wang, jin xie, zhaoxiang zhang","computer vision and pattern recognition","masked image modeling (mim) has attracted much research attention due to its promising potential for learning scalable visual representations. in typical approaches, models usually focus on predicting specific contents of masked patches, and their performances are highly related to pre-defined mask strategies. intuitively, this procedure can be considered as training a student (the model) on solving given problems (predict masked patches). however, we argue that the model should not only focus on solving given problems, but also stand in the shoes of a teacher to produce a more challenging problem by itself. to this end, we propose hard patches mining (hpm), a brand-new framework for mim pre-training. we observe that the reconstruction loss can naturally be the metric of the difficulty of the pre-training task. therefore, we introduce an auxiliary loss predictor, predicting patch-wise losses first and deciding where to mask next. it adopts a relative relationship learning strategy to prevent overfitting to exact reconstruction loss values. experiments under various settings demonstrate the effectiveness of hpm in constructing masked images. furthermore, we empirically find that solely introducing the loss prediction objective leads to powerful representations, verifying the efficacy of the ability to be aware of where is hard to reconstruct.",2023-04-12
"28","imu-based modularized wearable device for human motion classification","sahan wijethunga, shehan kaushalya senavirathna, kavishka dissanayake, janith bandara senanayake, eranda somathilake, upekha hansanie delay, roshan indika godaliyadda, mervyn parakrama ekanayake, janaka wijayakulasooriya","signal processing","human motion analysis is used in many different fields and applications. currently, existing systems either focus on one single limb or one single class of movements. many proposed systems are designed to be used in an indoor controlled environment and must possess good technical know-how to operate. to improve mobility, a less restrictive, modularized, and simple inertial measurement units based system is proposed that can be worn separately and combined. this allows the user to measure singular limb movements separately and also monitor whole body movements over a prolonged period at any given time while not restricted to a controlled environment. for proper analysis, data is conditioned and pre-processed through possible five stages namely power-based, clustering index-based, kalman filtering, distance-measure-based, and pca-based dimension reduction. different combinations of the above stages are analyzed using machine learning algorithms for selected case studies namely hand gesture recognition and environment and shoe parameter-based walking pattern analysis to validate the performance capability of the proposed wearable device and multi-stage algorithms. the results of the case studies show that distance-measure-based and pca-based dimension reduction will significantly improve human motion identification accuracy. this is further improved with the introduction of the kalman filter. an lstm neural network is proposed as an alternate classifier and the results indicate that it is a robust classifier for human motion recognition. as the results indicate, the proposed wearable device architecture and multi-stage algorithms are cable of distinguishing between subtle human limb movements making it a viable tool for human motion analysis.",2023-03-29
