"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"moviemaniac008","7 March 2007","Like many people think, Rachel Weisz was not the only one to give an interesting performance. You see, I found Djimon Hounsou, Jeremy Irons and Edward Speleers interesting. But I found Sienna Guillory a bit unconvincing at the beginning, still, her performance was incredible for the rest of the movie. I have found many coincidences on star wars and that movie: Brom is an Obi-Wan, Eragon is an Anakin Skywalker, Dragons replace spaceships. And many more! But find them by yourself. I really liked the battle sequences, though many people found them unrealistic. I thought they warmed up the movie a little. Anyways, this movie was great and I recommend it. I was one of the first ones to buy the DVD. I like it! (But I don't have the 2 disc edition, so I think they should have put more extras in). Great film! P.S: Baby Saphira was too cute!","
            10/10
            "
"goddessngirl","16 December 2006","First of all, the movie starts with Arya and the egg. But the narrator explains about who she is which eliminates the whole mystery of her character right off. There was no character development at all. Eragon is totally downplayed in the beginning and Roran is there and then just gone. Brom was portrayed as a cranky old man instead of the compassionate story teller. I must say though, that Saphira's period of growth was clever and Saphira, herself, was fantastic. But, none of the characters had personality. Speaking of the characters' personality, it wasn't ALL the screenwriters fault. What was with Ed Speelers? His rendition of Eragon lacked substance. The battles were immensely cut short. SOOOOOOO much was cut out of the book. And for people with children, it should be rated PG-13 because the battles were pretty graphic and the Ra'zac were really creepy looking. For people who read the book, the movie will make you want to kill the screenwriters. Major things were totally screwed up. Brom didn't even die the way he actually did in the book! Arya was conscious pretty much the whole time so there was no ""oh no she's going to die!"" suspense there. It was pretty lame. I felt nothing for any of the characters throughout the movie because nothing about the movie made me want to care about them. Did Christopher Paolini sell out when the price was high enough? I don't know but I am shocked that a writer would allow his or her book to be demolished in such a disgraceful and mocking creation as this movie. The graphics were good and the music was too, along with the setting and they were the ONLY good things.","
            2/10
            "
"melanieatkins_1","14 February 2007","I hope i never witness a sequel to this truly abysmal story. It seems like the whole film was put together in a couple of days. The script was dreadful and the acting not much better. When Jeremy Irons dies half way through he must of gave a sigh relief (at least he won't be in the sequel). The Film: A boy (Eragon) of 17 finds a dragon egg which hatches and becomes full sized in a day. The boy has special powers and rushes headfirst into everything without thinking but manages to survive everything thrown at him. None of the characters have any feeling felt towards them it's as if they are wooden characters. You don't really care what happens next. The finale is focused on a dragon fight with a raging battle fought beneath (which you don't see much of). The boy and his Dragon win (I don't know how) and it finishes as such that we will probably see the afore mentioned sequel. I say again what a terrible film trying to be Lord of the Rings but more like Bore of the rings.","
            1/10
            "
"the_zero_g","30 December 2006","ERAGON was not this totally disgusting movie that you should avoid. It is a very massive rip-off of LOTR and Star Wars (but everyone already knows that); yet it does have a certain level of charm, and the last quarter of the film is quite exciting.There are several problems with ERAGON, and most of them have nothing at all to do with the action or screenplay. If anything, it feels that at least 45 mins of the movie is missing. The story moves ahead far too quickly and doesn't explain anything deeply enough.ERAGON could have used better editing and much stronger character development. Too many people are rushed in and out of the story without really explaining who they are and why they are important. I had a feeling that the best parts of the movie were most likely cut out for time restrictions (often kiddie type films are shaved down to be as short as possible to fit in as many showings in one day as possible for theatres and the studios).Many movies are killed this way. ERAGON was definitely harmed by having so much of the story cut out -- and as someone who read the first book and seen the movie, they cut out way too much and there is much that should have definitely been in there.In any case, this is a good flick for TEENAGERS who enjoy heroic fantasy.","
            6/10
            "
"AJ_is_Awesomness","25 March 2007","Maybe I'm missing something, but I actually really enjoyed this movie. OK, so the acting was a bit messed up in some parts, but wow the effects and Saphira the dragon were both special and breath-taking. If you have read the book, then maybe you will see this movie as a joke, but if you haven't then you might, like me, find it rather extraordinary. It has something to offer to everyone, not to mention a hot young cast, amazing CGI work and cool set visuals. Plus, the ending, when the Saphira dies is quite emotional, and had a lot of my mates weeping into their popcorn lol. So yes, I would recommend Eragon as a good movie, despite a few flaws, and overall I would say Eragon is spectacular.","
            10/10
            "
"billkubert","20 December 2006","Really Bad. If you read the books, do yourself a favor and don't put yourself through the agony of sitting through this travesty. The story line (which skips about 70% of the original story line) wanders miles from the novel. Except for Rachel Weisz's great voice over work for the dragon (which is the best acting this film has) the acting from the rest of the actors is just above high school play level. What were Jeremy and John thinking in taking these roles? The special effects are decent but that's it and the sets are cheesy Save your cash and wait for the third novel.Let's hope they will not be a sequel.","
            1/10
            "
"horsecrazy1789","16 December 2006","Let's pretend for a moment I didn't read the book: Actors were great. Effects were great. Story line thrilling. It was an exciting movie that kept you going! All in all, A+.But WAIT! I did read the book! What the heck happened?! They absolutely butchered the storyline! I think the only thing they got right were the names! I'm dreadfully sorry Christopher Paolini... They got it wrong from character description to plot line! At first I was giving them a little credit cause they needed to edit it to make a movie, but by the time the sent Roran off to avoid the war instead of to work in a mill, I was fed up! I do give credit to the actors, they did very well for what they were given. The editing was off, there were scenes that it randomly began/stopped raining, voice overs that didn't match up, and other random mistakes. All in all, D-Moral: It would have been great had I not read the book. Over all, C+~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~EDIT: My friend and I saw the movie for a second time. This time however, we knew what to expect. We both found that the second time around was much better. (One, because we didn't spend the entire movie complaining...) I think I was a little too harsh the first time around. It is a good movie, not as ""to the book"" as I'd like it to be, but I still think that it is better than nothing. I am definitely hoping for some deleted scenes on the DVD though... All in all, raise it to a B","
            8/10
            "
"myrkeyjones","13 December 2006","Its seems that fantasy is the currant rage with motion pictures, what with obviously the hugely successful Lord of the Rings Trilogy and the Great but flawed Chronicles of Narnia adaption, and also Next year the Nicole Kidman and Daniel Craig starring Golden Compass Trilogy. Well eragon is entertaining claptrap at best, but as a motion picture it suffers from wooden acting and an very cheesy screenplay. Even some of the effects are low-par. There is also some shocking continuity and plot holes. Is Eragon a cheap rip-job to make some money in the wake of the fantasy craze, yep. With great actor's like John Malcovich, Jeremy Irons and Robert Caryle, you would think that this prestige would satisfy, but their performances are surprisingly wooden. The lead character eragon comes off as a fudged pretty boy. There were so many moments to make fun of, particularly the unintentional gay innuendo in the screenplay. The only light in this film is Sienna Guillory, who does her best to create a competent heroin. Eragon is a great big movie, with no soul. Recommendation: Avoid at best, but makes for a great comedy.","
            1/10
            "
"saarvardi","11 December 2006","I have to say I was pleasantly surprised by Eragon upon watching it during a special press screening in Ramat Gan, Israel on Sunday, December 10th. After Narnia and Lord of the Rings, it had big shoes to fill and many potentially great fantasy adaptations were (and still are) riding on it's back. If Eragon the movie fails to live up to the aforementioned films' success, the future of fantasy cinema is in question; if the box office receipts are satisfying, the sky is the limit for films of the genre. My two cents - I think the film delivers on mostly all scales and justifies the investment.Everything in Eragon is top notch - starting from the breathtaking scenery and special effects, and unto the (surprisingly good) acting. 19 year-old Edward Speelers actually manages to carry most of the film on his back, despite being rather young and totally anonymous. He has this unique sincerity in his acting I haven't seen in a young actor for a very lone time. Of course, the presence of Jeremy Irons as his aspiring mentor (didn't he play the exact same thing in Kingdom of Heaven?) helps him push through during the first half of the film. John Malcovich's menacing voice as the tormented yet evil King Galbatorix actually managed to send shivers down my spine (kudos, Mr. Malcovich), and the only famous talented I found somewhat disappointing was Rachel Wiesz's take on the dragoness Saphira.The plot tells of a faraway Dungeons and Dragons' like land where legends of dragon riders fighting for peace inspire the weak and weary people. They have been long ruled by King Galbatorix and his devilish army of ghouls and evil sorcerers. But not for long. A young farmer named Eragon finds an intriguing egg while hunting. Soon a tiny dragon hatches (one of the cutest CGI moments you'll ever see on film - I promise) and Eragon is chosen to be it's rider. From here on out Eragon sets on a quest to gather the remaining forces of resistance who oppose King Galbatorix, and save the people, with the help of mentor Brom (Jeremy Irons), Saphira - the last existing dragoness, Arya (Sienna Guillory, ""Love Actually"") and more.Yes, this is your basic (and much clichéd) coming of age story through which a young man must fight to find his way in life, and save the world whilst doing so. You've seen it in some version or another in films like Star Wars IV: A New Hope, the Harry Potter films and others, but if done right - it's always refreshing to see the story told again, from a new and different perspective. Here, you get to see that, along with awesome fight sequences, thrilling special effects and that good old epic feel you get towards the end, as you know you are now part of a new and magical journey. For me, it was a chance to feel like a child again, forget the time and life's other worries, and eat a can of popcorn with my girlfriend as if we were teenagers on our first date. Bottom line - Eragon is an excellent addition to the growing world of fantasy films. I gave it an 8 out of 10.","
            7/10
            "
"themovieclub","12 December 2006","When Christopher Paolini first wrote the book Eragon, he was only 15. This could be a double-edged sword for split votes between those impressed with his talents and those who criticise at the story's immaturity and lack of depth.The name 'Eragon' is probably derived from 'Dragon'. A fantasy about dragons and magic, it traces the adventure of a farm boy Eragon whose destiny is to save an Empire now that he is the sole dragon rider.The main attraction of the movie should be Saphira, a digital dragon voiced by the talented Rachel Weisz. The dragon emotes sensitivity and strength, and is easily the best 'actress' in the movie. Strange.While fantasy novel fans have great expectation for this year-end blockbuster, criticisms have been forthcoming. It has been said to be a copy of Lord of the Rings, with its scenic backdrop, setting and elfish language. (And Elijah Woods and Ian McKellen were originally considered for the roles of Eragon and Brom). The young Eragon avenging the death of his uncle reminds us of Luke Skywalker from Star Wars. And the use of magical spells, dragons scream and similar soundtrack scream ""Harry Potter"".The story-telling is rather straight forward and predictable with a surprisingly short duration (clocking below 2 hours.) My advice is, try not to draw comparisons of it to Lord of the Rings and you will be more forgiving. Note: Arya (Eragon) is not Arwen (LOTR) even though they feel really alike.Enjoy the dragon ride as you move through an entertaining adventure with breathtaking scenery.http://themovieclub.blogspot.com","
            8/10
            "
"CrouchingTiger15","14 December 2006","There is certainly something for everyone in this movie. That is, something for everyone to absolutely detest. Personally, I was struck by the horrid acting in this movie. The main characters all seemed to be warming up for the day of shooting in the shots chosen. They're characters were one dimensional at best and 9 times out of 10 they weren't even remotely believable. The best acting came from a poorly CGIed dragon with the completely unbelievable voice of Rachel Weisz.If the acting doesn't kill you, the film-making is next on the list. There are so many lens flares and disgustingly nauseating camera movements that you'll be using your popcorn bag as a barf bag. If I saw another Hitchcock ""dolly and zoom"" (like in Vertigo) I would have very seriously considered walking out of the movie. Those camera movements only have meaning if you use them sparingly and intentionally at key moments. This movie very much represented a film student's first work, when they are eager to try all the tricks, movements, and shots they've seen in great movies before.MINOR SPOILER WARNING BELOWAnd, lastly, if you can see past all of these things, you will not miss the fact that the story is a very blatant mixture of Lord of the Rings and Star Wars. It starts with a princess who has stolen something from the evil ruler and now tries to smuggle it to her hidden base. I was looking for R2D2 and C3PO to appear. We also learn that ""Shades"" can apparently use force strangle like Darth Vader. And of course, there are many Lord of the Rings-like things (elves and dwarfs, Eragon/Aragorn and Aria/Arwen, etc). Some of the shots were even framed identically to shots from Lord of the Rings. END SPOILERSUnfortunately, while this film tries to copy Lord of the Rings and Star Wars, it has nowhere near the storyline, effects, or acting in either of them (including Episode I, so that's pretty bad). Save the money or use it to go see dancing penguins or James Blond playing poker for two hours. Between a horrible script, even worse acting, awkward editing, shaky-at-best camera work, a blatant lack of directing, cheap CGI and other effects, and a pace that drags like a car with both rear tires shot out, this movie bombs. You'll spend more time talking about how bad it is than you will in the theater actually watching it.","
            1/10
            "
"Wizard-8","31 May 2009","I have not read the Christopher Paolini novel this is supposedly based on, so I don't know if he's the source to blame the major problem I had with this movie. But it's clear that SOMEONE along the way from writing the novel to making this movie had seen ""Star Wars"" too many times. Here's a sample of the evidence (SPOILERS BELOW): (1) There is a youthful protagonist, who lives with his uncle (2) The uncle is killed by troops of the evil empire (3) The youth is mentored by a mysterious and powerful bearded figure, who teaches him the art of special fighting (4) At one point, the youth flies down a narrow trench (5) The bearded mentor is killed during the journey (6) The youth springs a princess from the clutches of the evil empire (7) The youth joins with a band of rebels (8) After the battle, where the evil emperor's prized warrior is defeated, the emperor is still alive and ready to take revenge at the end of the movieIf all this ripping off was done with some energy and a few bursts of originality and wit, it possibly could have been a painless time-waster. But as it is, and with the ""Star Wars"" movies easily available to rewatch, there is absolutely no reason to see this movie.","
            7/10
            "
"MKeller14-1","22 December 2006","Let me start by saying I didn't read the books before seeing the movie but I am reading Eragon now. I enjoyed the movie. Not great but not bad. One of the most nagging problems with this movie has it was way to short and seemed like it was in fast forward most of the movie. If they would have increased this movie to 2 hours to 2 and a half hours I think it would have been a very good movie (hopefully the DVD will have more added in). The acting by Rachel Weisz was fantastic. Jeremy Irons did a very good for his part. But those are two experienced actors that will give good performances regardless. The CG on Saphira was very well done. The main problem with the acting in this movie was Edward Speleers, he had no presence in this movie, which is a bad thing for the main character. It was all most like he was just there to read his lines and go home. For which I hold the director responsible but it was also one of his first movies. I think Edward would have made a good side character, but someone with more experienced should have been casted as Eragon or a director with more proved talent. If you have never read the book and enjoy good CG you will like this movie. Just change the name of the movie to Saphira and it is OK. If you have read the book assume it is a coincidence that the movie and characters share names.","
            4/10
            "
